# curie_map:
#   MAXO: http://purl.obolibrary.org/obo/MAXO_
#   NCIT: http://purl.obolibrary.org/obo/NCIT_
#   OBI: http://purl.obolibrary.org/obo/OBI_
#   oio: http://www.geneontology.org/formats/oboInOwl#
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://w3id.org/sssom/license/unspecified
# mapping_set_id: https://w3id.org/sssom/mappings/a44d9015-97b1-4f68-98ee-2e7080c2921b
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
MAXO:0000350	biopsy of colon	skos:closeMatch	NCIT:C51678	Biopsy of Colon	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	biopsy of colon
MAXO:0000355	biopsy of duodenum	skos:closeMatch	NCIT:C51683	Biopsy of Duodenum	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	biopsy of duodenum
MAXO:0000355	biopsy of duodenum	skos:closeMatch	NCIT:C51683	Biopsy of Duodenum	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	biopsy of duodenum
MAXO:0000359	biopsy of esophagus	skos:closeMatch	NCIT:C51686	Esophageal Biopsy	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	biopsy of esophagus
MAXO:0000366	biopsy of heart	skos:closeMatch	NCIT:C51794	Biopsy of Heart	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	biopsy of heart
MAXO:0000366	biopsy of heart	skos:closeMatch	NCIT:C51794	Biopsy of Heart	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	biopsy of heart
MAXO:0000373	biopsy of larynx	skos:closeMatch	NCIT:C51663	Biopsy of Larynx	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	biopsy of larynx
MAXO:0000373	biopsy of larynx	skos:closeMatch	NCIT:C51663	Biopsy of Larynx	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	biopsy of larynx
MAXO:0000375	biopsy of lip	skos:closeMatch	NCIT:C51653	Biopsy of Lip	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	biopsy of lip
MAXO:0000375	biopsy of lip	skos:closeMatch	NCIT:C51653	Biopsy of Lip	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	biopsy of lip
MAXO:0000376	biopsy of liver	skos:closeMatch	NCIT:C51677	Liver Biopsy	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	biopsy of liver
MAXO:0000376	biopsy of liver	skos:closeMatch	NCIT:C51677	Liver Biopsy	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	liver biopsy
MAXO:0000376	biopsy of liver	skos:closeMatch	NCIT:C51677	Liver Biopsy	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	liver biopsy
MAXO:0000380	biopsy of lung	skos:closeMatch	NCIT:C51748	Lung Biopsy	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	biopsy of lung
MAXO:0000380	biopsy of lung	skos:closeMatch	NCIT:C51748	Lung Biopsy	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	lung biopsy
MAXO:0000380	biopsy of lung	skos:closeMatch	NCIT:C51748	Lung Biopsy	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	lung biopsy
MAXO:0000380	biopsy of lung	skos:closeMatch	NCIT:C51748	Lung Biopsy	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	lung biopsy
MAXO:0000381	biopsy of lymph node	skos:closeMatch	NCIT:C51900	Lymph Node Biopsy	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	biopsy of lymph node
MAXO:0000381	biopsy of lymph node	skos:closeMatch	NCIT:C51900	Lymph Node Biopsy	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	lymph node biopsy
MAXO:0000381	biopsy of lymph node	skos:closeMatch	NCIT:C51900	Lymph Node Biopsy	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	lymph node biopsy
MAXO:0000385	biopsy of mouth	skos:closeMatch	NCIT:C51895	Muscle Biopsy	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	muscle biopsy
MAXO:0000385	biopsy of mouth	skos:closeMatch	NCIT:C51895	Muscle Biopsy	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	muscle biopsy
MAXO:0000385	biopsy of mouth	skos:closeMatch	NCIT:C51650	Biopsy of Mouth	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	biopsy of mouth
MAXO:0000385	biopsy of mouth	skos:closeMatch	NCIT:C51650	Biopsy of Mouth	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	biopsy of mouth
MAXO:0000386	biopsy of muscle	skos:closeMatch	NCIT:C51895	Muscle Biopsy	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	biopsy of muscle
MAXO:0000389	biopsy of nasopharynx	skos:closeMatch	NCIT:C51768	Biopsy of Nasopharynx	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	biopsy of nasopharynx
MAXO:0000389	biopsy of nasopharynx	skos:closeMatch	NCIT:C51768	Biopsy of Nasopharynx	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	biopsy of nasopharynx
MAXO:0000392	biopsy of pancreas	skos:closeMatch	NCIT:C51671	Biopsy of Pancreas	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	biopsy of pancreas
MAXO:0000392	biopsy of pancreas	skos:closeMatch	NCIT:C51671	Biopsy of Pancreas	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	biopsy of pancreas
MAXO:0000395	biopsy of peritoneum	skos:closeMatch	NCIT:C51627	Biopsy of Peritoneum	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	biopsy of peritoneum
MAXO:0000395	biopsy of peritoneum	skos:closeMatch	NCIT:C51627	Biopsy of Peritoneum	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	biopsy of peritoneum
MAXO:0000397	biopsy of pleura	skos:closeMatch	NCIT:C51897	Pleural Biopsy	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	biopsy of pleura
MAXO:0000398	biopsy of rectum	skos:closeMatch	NCIT:C51693	Rectal Biopsy	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	biopsy of rectum
MAXO:0000403	biopsy of small intestine	skos:closeMatch	NCIT:C51600	Biopsy of Small Intestine	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	biopsy of small intestine
MAXO:0000403	biopsy of small intestine	skos:closeMatch	NCIT:C51600	Biopsy of Small Intestine	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	biopsy of small intestine
MAXO:0000406	biopsy of stomach	skos:closeMatch	NCIT:C51685	Gastric Biopsy	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	biopsy of stomach
MAXO:0000409	biopsy of testis	skos:closeMatch	NCIT:C51894	Biopsy of Testis	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	biopsy of testis
MAXO:0000409	biopsy of testis	skos:closeMatch	NCIT:C51894	Biopsy of Testis	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	biopsy of testis
MAXO:0000411	biopsy of thyroid gland	skos:closeMatch	NCIT:C51613	Biopsy of Thyroid Gland	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	biopsy of thyroid gland
MAXO:0000411	biopsy of thyroid gland	skos:closeMatch	NCIT:C51613	Biopsy of Thyroid Gland	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	biopsy of thyroid gland
MAXO:0000412	biopsy of tongue	skos:closeMatch	NCIT:C51930	Biopsy of Tongue	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	biopsy of tongue
MAXO:0000412	biopsy of tongue	skos:closeMatch	NCIT:C51930	Biopsy of Tongue	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	biopsy of tongue
MAXO:0000414	biopsy of trachea	skos:closeMatch	NCIT:C51631	Biopsy of Trachea	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	biopsy of trachea
MAXO:0000414	biopsy of trachea	skos:closeMatch	NCIT:C51631	Biopsy of Trachea	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	biopsy of trachea
MAXO:0000418	biopsy of urethra	skos:closeMatch	NCIT:C51640	Biopsy of Urethra	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	biopsy of urethra
MAXO:0000418	biopsy of urethra	skos:closeMatch	NCIT:C51640	Biopsy of Urethra	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	biopsy of urethra
MAXO:0000423	biopsy of skin	skos:closeMatch	NCIT:C51692	Skin Biopsy	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	biopsy of skin
MAXO:0000423	biopsy of skin	skos:closeMatch	NCIT:C51692	Skin Biopsy	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	skin biopsy
MAXO:0000423	biopsy of skin	skos:closeMatch	NCIT:C51692	Skin Biopsy	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	skin biopsy
MAXO:0000755	liquid biopsy	skos:closeMatch	NCIT:C135727	Liquid Biopsy	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	liquid biopsy
MAXO:0000755	liquid biopsy	skos:closeMatch	NCIT:C135727	Liquid Biopsy	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	liquid biopsy
MAXO:0001121	biopsy of kidney	skos:closeMatch	NCIT:C51699	Kidney Biopsy	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	biopsy of kidney
MAXO:0001121	biopsy of kidney	skos:closeMatch	NCIT:C51699	Kidney Biopsy	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	kidney biopsy
MAXO:0001121	biopsy of kidney	skos:closeMatch	NCIT:C51699	Kidney Biopsy	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	kidney biopsy
NCIT:C137909	Computed Tomography Assisted Biopsy	skos:closeMatch	OBI:0002652	computed tomography assisted biopsy	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	computed tomography assisted biopsy
NCIT:C137909	Computed Tomography Assisted Biopsy	skos:closeMatch	OBI:0002652	computed tomography assisted biopsy	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	computed tomography assisted biopsy
NCIT:C15189	Biopsy	skos:closeMatch	OBI:0002650	biopsy	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	biopsy
NCIT:C15189	Biopsy	skos:closeMatch	OBI:0002650	biopsy	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	biopsy
NCIT:C15189	Biopsy	skos:closeMatch	OBI:0002650	biopsy	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	biopsy
NCIT:C15189	Biopsy	skos:closeMatch	OBI:0002650	biopsy	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	biopsy
NCIT:C15190	Needle Biopsy	skos:closeMatch	NCIT:C15680	Core Biopsy	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	needle biopsy
NCIT:C15190	Needle Biopsy	skos:closeMatch	OBI:0002654	needle biopsy	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	needle biopsy
NCIT:C15190	Needle Biopsy	skos:closeMatch	OBI:0002654	needle biopsy	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	needle biopsy
NCIT:C15190	Needle Biopsy	skos:closeMatch	OBI:0002654	needle biopsy	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	needle biopsy
NCIT:C15190	Needle Biopsy	skos:closeMatch	NCIT:C15680	Core Biopsy	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	needle biopsy
NCIT:C15190	Needle Biopsy	skos:closeMatch	NCIT:C15680	Core Biopsy	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	needle biopsy
NCIT:C15385	Excisional Biopsy	skos:closeMatch	OBI:0002657	surgical biopsy	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	surgical biopsy
NCIT:C15652	Image Guided Biopsy	skos:closeMatch	OBI:0002651	image guided biopsy	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	image guided biopsy
NCIT:C15652	Image Guided Biopsy	skos:closeMatch	OBI:0002651	image guided biopsy	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	image guided biopsy
NCIT:C15680	Core Biopsy	skos:closeMatch	OBI:0002654	needle biopsy	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	needle biopsy
NCIT:C15680	Core Biopsy	skos:closeMatch	OBI:0002656	core needle biopsy	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	core needle biopsy
NCIT:C15680	Core Biopsy	skos:closeMatch	OBI:0002656	core needle biopsy	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	core needle biopsy
NCIT:C174241	EWS Biopsy/Surgical Procedures Table	skos:closeMatch	NCIT:C177402	GCT Biopsy/Surgical Procedures Table	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	biopsy/surgical procedures table
NCIT:C174241	EWS Biopsy/Surgical Procedures Table	skos:closeMatch	NCIT:C179482	OS Biopsy/Surgical Procedures Table	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	biopsy/surgical procedures table
NCIT:C174241	EWS Biopsy/Surgical Procedures Table	skos:closeMatch	NCIT:C186321	HL Biopsy/Surgical Procedures Table	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	biopsy/surgical procedures table
NCIT:C177402	GCT Biopsy/Surgical Procedures Table	skos:closeMatch	NCIT:C179482	OS Biopsy/Surgical Procedures Table	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	biopsy/surgical procedures table
NCIT:C177402	GCT Biopsy/Surgical Procedures Table	skos:closeMatch	NCIT:C186321	HL Biopsy/Surgical Procedures Table	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	biopsy/surgical procedures table
NCIT:C179482	OS Biopsy/Surgical Procedures Table	skos:closeMatch	NCIT:C186321	HL Biopsy/Surgical Procedures Table	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	biopsy/surgical procedures table

