# curie_map:
#   AAO: http://purl.obolibrary.org/obo/AAO_
#   AEO: http://purl.obolibrary.org/obo/AEO_
#   BAMS: http://w3id.org/sssom/unknown_prefix/bams/
#   BIRNLEX: http://w3id.org/sssom/unknown_prefix/birnlex/
#   BM: http://w3id.org/sssom/unknown_prefix/bm/
#   BTO: http://purl.obolibrary.org/obo/BTO_
#   CALOHA: http://w3id.org/sssom/unknown_prefix/caloha/
#   CARO: http://purl.obolibrary.org/obo/CARO_
#   CL: http://purl.obolibrary.org/obo/CL_
#   DHBA: https://biopragmatics.github.io/providers/dhba/
#   EFO: http://www.ebi.ac.uk/efo/EFO_
#   EHDAA: http://purl.obolibrary.org/obo/EHDAA_
#   EHDAA2: http://purl.obolibrary.org/obo/EHDAA2_
#   EMAPA: http://purl.obolibrary.org/obo/EMAPA_
#   ENVO: http://purl.obolibrary.org/obo/ENVO_
#   EV: http://purl.obolibrary.org/obo/EV_
#   FAO: http://purl.obolibrary.org/obo/FAO_
#   FBbt: http://purl.obolibrary.org/obo/FBbt_
#   FMA: http://purl.obolibrary.org/obo/FMA_
#   GAID: http://w3id.org/sssom/unknown_prefix/gaid/
#   GC_ID: http://w3id.org/sssom/unknown_prefix/gc_id/
#   GO: http://purl.obolibrary.org/obo/GO_
#   GOC: http://w3id.org/sssom/unknown_prefix/goc/
#   HAO: http://purl.obolibrary.org/obo/HAO_
#   HBA: https://biopragmatics.github.io/providers/hba/
#   HsapDv: http://purl.obolibrary.org/obo/HsapDv_
#   ILX: http://w3id.org/sssom/unknown_prefix/ilx/
#   MA: http://purl.obolibrary.org/obo/MA_
#   MAT: http://purl.obolibrary.org/obo/MAT_
#   MBA: https://biopragmatics.github.io/providers/mba/
#   MESH: http://id.nlm.nih.gov/mesh/
#   MIAA: http://w3id.org/sssom/unknown_prefix/miaa/
#   MmusDv: http://purl.obolibrary.org/obo/MmusDv_
#   NCBITaxon: http://purl.obolibrary.org/obo/NCBITaxon_
#   NCIT: http://purl.obolibrary.org/obo/NCIT_
#   OGES: http://w3id.org/sssom/unknown_prefix/oges/
#   PBA: https://biopragmatics.github.io/providers/pba/
#   PMID: http://rdf.ncbi.nlm.nih.gov/pubchem/reference/
#   PR: http://purl.obolibrary.org/obo/PR_
#   RETIRED_EHDAA2: http://w3id.org/sssom/unknown_prefix/retired_ehdaa2/
#   RO: http://purl.obolibrary.org/obo/RO_
#   Reactome: http://w3id.org/sssom/unknown_prefix/reactome/
#   SCTID: http://snomed.info/id/
#   SPD: http://purl.obolibrary.org/obo/SPD_
#   TAO: http://purl.obolibrary.org/obo/TAO_
#   UBERON: http://purl.obolibrary.org/obo/UBERON_
#   UMLS: http://linkedlifedata.com/resource/umls/id/
#   VHOG: http://purl.obolibrary.org/obo/VHOG_
#   WBbt: http://purl.obolibrary.org/obo/WBbt_
#   WBls: http://purl.obolibrary.org/obo/WBls_
#   Wikipedia: http://w3id.org/sssom/unknown_prefix/wikipedia/
#   XAO: http://purl.obolibrary.org/obo/XAO_
#   ZFA: http://purl.obolibrary.org/obo/ZFA_
#   ZFS: http://purl.obolibrary.org/obo/ZFS_
#   galen: http://www.co-ode.org/ontologies/galen#
#   http: http://w3id.org/sssom/unknown_prefix/http/
#   https: http://w3id.org/sssom/unknown_prefix/https/
#   neuronames: http://braininfo.rprc.washington.edu/centraldirectory.aspx?ID=
#   oio: http://www.geneontology.org/formats/oboInOwl#
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://w3id.org/sssom/license/unspecified
# mapping_set_id: temp
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	subject_source	object_source	mapping_cardinality	comment
CL:0000098	sensory epithelial cell	oio:hasDbXref	BTO:0004301	neuroepithelial cell	semapv:UnspecifiedMatching	CL	BTO	1:n	cardinality is 1:n
CL:0000101	sensory neuron	oio:hasDbXref	MESH:D011984	Sensory Receptor Cells	semapv:UnspecifiedMatching	CL	MESH	1:n	cardinality is 1:n
CL:0000111	obsolete peripheral neuron	oio:hasDbXref	FMA:84664	Peripheral neuron	semapv:UnspecifiedMatching	CL	FMA	1:n	subject is obsolete | cardinality is 1:n
CL:0000128	oligodendrocyte	oio:hasDbXref	BTO:0000962	oligodendrocyte	semapv:UnspecifiedMatching	CL	BTO	1:n	cardinality is 1:n
CL:0000128	oligodendrocyte	oio:hasDbXref	FMA:54540	Oligodendrocyte	semapv:UnspecifiedMatching	CL	FMA	1:n	cardinality is 1:n
CL:0000129	microglial cell	oio:hasDbXref	BTO:0000078	microglia	semapv:UnspecifiedMatching	CL	BTO	n:1	cardinality is n:1
CL:0000129	microglial cell	oio:hasDbXref	BTO:0000962	oligodendrocyte	semapv:UnspecifiedMatching	CL	BTO	n:n	cardinality is n:n
CL:0000129	microglial cell	oio:hasDbXref	FMA:54539	Microglial cell	semapv:UnspecifiedMatching	CL	FMA	n:1	cardinality is n:1
CL:0000129	microglial cell	oio:hasDbXref	FMA:54540	Oligodendrocyte	semapv:UnspecifiedMatching	CL	FMA	n:n	cardinality is n:n
CL:0000134	mesenchymal stem cell	oio:hasDbXref	BTO:0002625	mesenchymal cell	semapv:UnspecifiedMatching	CL	BTO	n:1	cardinality is n:1
CL:0000134	mesenchymal stem cell	oio:hasDbXref	BTO:0003298	mesenchymal stem cell	semapv:UnspecifiedMatching	CL	BTO	n:1	cardinality is n:1
CL:0000168	insulin secreting cell	oio:hasDbXref	BTO:0000783	pancreatic beta cell	semapv:UnspecifiedMatching	CL	BTO	1:n	cardinality is 1:n
CL:0000169	type B pancreatic cell	oio:hasDbXref	BTO:0000783	pancreatic beta cell	semapv:UnspecifiedMatching	CL	BTO	1:n	cardinality is 1:n
CL:0000187	muscle cell	oio:hasDbXref	BTO:0000888	muscle fibre	semapv:UnspecifiedMatching	CL	BTO	n:1	cardinality is n:1
CL:0000187	muscle cell	oio:hasDbXref	BTO:0000902	plant vessel	semapv:UnspecifiedMatching	CL	BTO	n:1	cardinality is n:1
CL:0000189	slow muscle cell	oio:hasDbXref	FMA:84448	Red muscle cell	semapv:UnspecifiedMatching	CL	FMA	1:n	cardinality is 1:n
CL:0000197	sensory receptor cell	oio:hasDbXref	MESH:D011984	Sensory Receptor Cells	semapv:UnspecifiedMatching	CL	MESH	1:n	cardinality is 1:n
CL:0000202	auditory hair cell	oio:hasDbXref	FMA:62364	Cochlear hair cell	semapv:UnspecifiedMatching	CL	FMA	1:n	cardinality is 1:n
CL:0000218	myelinating Schwann cell	oio:hasDbXref	CALOHA:TS-0898		semapv:UnspecifiedMatching	CL	CALOHA	1:n	cardinality is 1:n
CL:0000232	erythrocyte	oio:hasDbXref	CALOHA:TS-0290		semapv:UnspecifiedMatching	CL	CALOHA	1:n	cardinality is 1:n
CL:0000235	macrophage	oio:hasDbXref	FMA:63261	Macrophage	semapv:UnspecifiedMatching	CL	FMA	n:1	cardinality is n:1
CL:0000235	macrophage	oio:hasDbXref	FMA:83585	Histiocyte	semapv:UnspecifiedMatching	CL	FMA	n:1	cardinality is n:1
CL:0000247	Rohon-Beard neuron	oio:hasDbXref	EFO:0003711	obsolete_Rohon-Beard neuron	semapv:UnspecifiedMatching	CL	EFO	1:1	object is obsolete
CL:0000374	trichogen cell	oio:hasDbXref	BTO:0004744	hair cell	semapv:UnspecifiedMatching	CL	BTO	1:n	cardinality is 1:n
CL:0000375	obsolete osteoprogenitor cell	oio:hasDbXref	BTO:0002051	preosteoblast	semapv:UnspecifiedMatching	CL	BTO	1:1	subject is obsolete
CL:0000398	obsolete polygonal cell	oio:hasDbXref	FBbt:00001691	obsolete polygonal cell	semapv:UnspecifiedMatching	CL	FBbt	1:1	subject is obsolete | object is obsolete
CL:0000408	male gamete	oio:hasDbXref	BTO:0001277	spermatozoon	semapv:UnspecifiedMatching	CL	BTO	1:n	cardinality is 1:n
CL:0000408	male gamete	oio:hasDbXref	CALOHA:TS-0949		semapv:UnspecifiedMatching	CL	CALOHA	1:n	cardinality is 1:n
CL:0000415	diploid cell	oio:hasDbXref	FMA:72300	Somatic cell	semapv:UnspecifiedMatching	CL	FMA	1:n	cardinality is 1:n
CL:0000503	theca cell	oio:hasDbXref	BTO:0002850	theca cell	semapv:UnspecifiedMatching	CL	BTO	1:n	cardinality is 1:n
CL:0000503	theca cell	oio:hasDbXref	FMA:18690	Theca lutein cell	semapv:UnspecifiedMatching	CL	FMA	1:n	cardinality is 1:n
CL:0000558	reticulocyte	oio:hasDbXref	CALOHA:TS-0864		semapv:UnspecifiedMatching	CL	CALOHA	1:n	cardinality is 1:n
CL:0000577	type EC enteroendocrine cell	oio:hasDbXref	FMA:62934	Type EC enteroendocrine cell	semapv:UnspecifiedMatching	CL	FMA	n:1	cardinality is n:1
CL:0000577	type EC enteroendocrine cell	oio:hasDbXref	FMA:83132	Argentaffin cell	semapv:UnspecifiedMatching	CL	FMA	n:1	cardinality is n:1
CL:0000590	small luteal cell	oio:hasDbXref	BTO:0002850	theca cell	semapv:UnspecifiedMatching	CL	BTO	1:n	cardinality is 1:n
CL:0000590	small luteal cell	oio:hasDbXref	FMA:18690	Theca lutein cell	semapv:UnspecifiedMatching	CL	FMA	1:n	cardinality is 1:n
CL:0000598	pyramidal neuron	oio:hasDbXref	FMA:67310	Projection neuron	semapv:UnspecifiedMatching	CL	FMA	n:1	cardinality is n:1
CL:0000598	pyramidal neuron	oio:hasDbXref	FMA:86775		semapv:UnspecifiedMatching	CL	FMA	n:1	cardinality is n:1
CL:0000620	obsolete zoospore	oio:hasDbXref	FAO:0000039	oospore	semapv:UnspecifiedMatching	CL	FAO	1:n	subject is obsolete | cardinality is 1:n
CL:0000623	natural killer cell	oio:hasDbXref	BTO:0000914	natural killer cell	semapv:UnspecifiedMatching	CL	BTO	n:1	cardinality is n:1
CL:0000623	natural killer cell	oio:hasDbXref	BTO:0004716	null cell	semapv:UnspecifiedMatching	CL	BTO	n:1	cardinality is n:1
CL:0000623	natural killer cell	oio:hasDbXref	FMA:63147	Natural killer cell	semapv:UnspecifiedMatching	CL	FMA	n:1	cardinality is n:1
CL:0000623	natural killer cell	oio:hasDbXref	FMA:83601	Null lymphocyte	semapv:UnspecifiedMatching	CL	FMA	n:n	cardinality is n:n
CL:0000630	supporting cell	oio:hasDbXref	BTO:0002315	supporting cell	semapv:UnspecifiedMatching	CL	BTO	1:n	cardinality is 1:n
CL:0000668	obsolete parenchymal cell	oio:hasDbXref	BTO:0002174	parenchymal cell	semapv:UnspecifiedMatching	CL	BTO	1:1	subject is obsolete
CL:0000668	obsolete parenchymal cell	oio:hasDbXref	FMA:84638	Parenchymal cell	semapv:UnspecifiedMatching	CL	FMA	1:1	subject is obsolete
CL:0000669	pericyte	oio:hasDbXref	BTO:0002441	pericyte	semapv:UnspecifiedMatching	CL	BTO	1:n	cardinality is 1:n
CL:0000696	PP cell	oio:hasDbXref	FMA:62938	Type PP enteroendocrine cell	semapv:UnspecifiedMatching	CL	FMA	n:1	cardinality is n:1
CL:0000696	PP cell	oio:hasDbXref	FMA:83409	Type F enteroendocrine cell	semapv:UnspecifiedMatching	CL	FMA	n:1	cardinality is n:1
CL:0000703	sustentacular cell	oio:hasDbXref	BTO:0002315	supporting cell	semapv:UnspecifiedMatching	CL	BTO	1:n	cardinality is 1:n
CL:0000710	neurecto-epithelial cell	oio:hasDbXref	BTO:0004301	neuroepithelial cell	semapv:UnspecifiedMatching	CL	BTO	1:n	cardinality is 1:n
CL:0000723	somatic stem cell	oio:hasDbXref	CALOHA:TS-2086		semapv:UnspecifiedMatching	CL	CALOHA	1:n	cardinality is 1:n
CL:0000723	somatic stem cell	oio:hasDbXref	FMA:63368	Stem cell	semapv:UnspecifiedMatching	CL	FMA	1:n	cardinality is 1:n
CL:0000746	cardiac muscle cell	oio:hasDbXref	BTO:0001539	parenchyma	semapv:UnspecifiedMatching	CL	BTO	1:n	cardinality is 1:n
CL:0000746	cardiac muscle cell	oio:hasDbXref	CALOHA:TS-0115		semapv:UnspecifiedMatching	CL	CALOHA	1:n	cardinality is 1:n
CL:0000764	erythroid lineage cell	oio:hasDbXref	CALOHA:TS-0290		semapv:UnspecifiedMatching	CL	CALOHA	1:n	cardinality is 1:n
CL:0000764	erythroid lineage cell	oio:hasDbXref	FMA:62845	Erythrocyte	semapv:UnspecifiedMatching	CL	FMA	n:1	cardinality is n:1
CL:0000764	erythroid lineage cell	oio:hasDbXref	FMA:83516	Erythropoietic cell	semapv:UnspecifiedMatching	CL	FMA	n:1	cardinality is n:1
CL:0000775	neutrophil	oio:hasDbXref	CALOHA:TS-0688		semapv:UnspecifiedMatching	CL	CALOHA	1:n	cardinality is 1:n
CL:0000794	CD8-positive, alpha-beta cytotoxic T cell	oio:hasDbXref	CALOHA:TS-0190		semapv:UnspecifiedMatching	CL	CALOHA	1:n	cardinality is 1:n
CL:0000794	CD8-positive, alpha-beta cytotoxic T cell	oio:hasDbXref	FMA:70573	T-cytotoxic cell	semapv:UnspecifiedMatching	CL	FMA	1:n	cardinality is 1:n
CL:0000817	precursor B cell	oio:hasDbXref	BTO:0001133	pre-B-lymphocyte	semapv:UnspecifiedMatching	CL	BTO	1:n	cardinality is 1:n
CL:0000817	precursor B cell	oio:hasDbXref	CALOHA:TS-0819		semapv:UnspecifiedMatching	CL	CALOHA	1:n	cardinality is 1:n
CL:0000837	hematopoietic multipotent progenitor cell	oio:hasDbXref	BTO:0000725	hematopoietic stem cell	semapv:UnspecifiedMatching	CL	BTO	1:n	cardinality is 1:n
CL:0000837	hematopoietic multipotent progenitor cell	oio:hasDbXref	CALOHA:TS-0448		semapv:UnspecifiedMatching	CL	CALOHA	1:n	cardinality is 1:n
CL:0000839	myeloid lineage restricted progenitor cell	oio:hasDbXref	BTO:0004730	myeloid progenitor cell	semapv:UnspecifiedMatching	CL	BTO	1:n	cardinality is 1:n
CL:0000855	sensory hair cell	oio:hasDbXref	BTO:0004744	hair cell	semapv:UnspecifiedMatching	CL	BTO	1:n	cardinality is 1:n
CL:0000861	elicited macrophage	oio:hasDbXref	FMA:84643	Free macrophage	semapv:UnspecifiedMatching	CL	FMA	n:1	cardinality is n:1
CL:0000861	elicited macrophage	oio:hasDbXref	FMA:84645	Wandering histiocyte	semapv:UnspecifiedMatching	CL	FMA	n:1	cardinality is n:1
CL:0000864	tissue-resident macrophage	oio:hasDbXref	FMA:84642	Fixed macrophage	semapv:UnspecifiedMatching	CL	FMA	n:1	cardinality is n:1
CL:0000864	tissue-resident macrophage	oio:hasDbXref	FMA:84644	Resting histiocyte	semapv:UnspecifiedMatching	CL	FMA	n:1	cardinality is n:1
CL:0000893	thymocyte	oio:hasDbXref	BTO:0001372	thymocyte	semapv:UnspecifiedMatching	CL	BTO	1:n	cardinality is 1:n
CL:0000893	thymocyte	oio:hasDbXref	CALOHA:TS-1042		semapv:UnspecifiedMatching	CL	CALOHA	1:n	cardinality is 1:n
CL:0000910	cytotoxic T cell	oio:hasDbXref	CALOHA:TS-0190		semapv:UnspecifiedMatching	CL	CALOHA	1:n	cardinality is 1:n
CL:0000910	cytotoxic T cell	oio:hasDbXref	FMA:70573	T-cytotoxic cell	semapv:UnspecifiedMatching	CL	FMA	1:n	cardinality is 1:n
CL:0000917	Tc1 cell	oio:hasDbXref	BTO:0004793	TC1 cell	semapv:UnspecifiedMatching	CL	BTO	n:1	cardinality is n:1
CL:0000917	Tc1 cell	oio:hasDbXref	BTO:0004888	TC-1 cell	semapv:UnspecifiedMatching	CL	BTO	n:1	cardinality is n:1
CL:0000955	pre-B-II cell	oio:hasDbXref	BTO:0001133	pre-B-lymphocyte	semapv:UnspecifiedMatching	CL	BTO	1:n	cardinality is 1:n
CL:0000955	pre-B-II cell	oio:hasDbXref	CALOHA:TS-0819		semapv:UnspecifiedMatching	CL	CALOHA	1:n	cardinality is 1:n
CL:0000988	hematopoietic cell	oio:hasDbXref	FMA:70366		semapv:UnspecifiedMatching	CL	FMA	n:1	cardinality is n:1
CL:0000988	hematopoietic cell	oio:hasDbXref	FMA:83598	Hematopoietic cell	semapv:UnspecifiedMatching	CL	FMA	n:1	cardinality is n:1
CL:0001024	CD34-positive, CD38-negative hematopoietic stem cell	oio:hasDbXref	CALOHA:TS-0448		semapv:UnspecifiedMatching	CL	CALOHA	1:n	cardinality is 1:n
CL:0001024	CD34-positive, CD38-negative hematopoietic stem cell	oio:hasDbXref	FMA:86475	Hemopoietic stem cell	semapv:UnspecifiedMatching	CL	FMA	1:n	cardinality is 1:n
CL:0001066	erythroid progenitor cell, mammalian	oio:hasDbXref	BTO:0004911	erythroid progenitor cell	semapv:UnspecifiedMatching	CL	BTO	1:n	cardinality is 1:n
CL:0002064	pancreatic acinar cell	oio:hasDbXref	BTO:0000028	pancreatic acinar cell	semapv:UnspecifiedMatching	CL	BTO	1:n	cardinality is 1:n
CL:0002071	enterocyte of epithelium of large intestine	oio:hasDbXref	FMA:63638	Vacuolar absorptive cell	semapv:UnspecifiedMatching	CL	FMA	n:1	cardinality is n:1
CL:0002071	enterocyte of epithelium of large intestine	oio:hasDbXref	FMA:66771	Columnar cell	semapv:UnspecifiedMatching	CL	FMA	n:1	cardinality is n:1
CL:0002093	secondary polar body	oio:hasDbXref	EMAPA:16034	second polar body	semapv:UnspecifiedMatching	CL	EMAPA	n:1	cardinality is n:1
CL:0002093	secondary polar body	oio:hasDbXref	EMAPA:16045		semapv:UnspecifiedMatching	CL	EMAPA	n:1	object is obsolete | cardinality is n:1
CL:0002163	internal pillar cell of cochlea	oio:hasDbXref	FMA:75722	Pillar cell of cochlea	semapv:UnspecifiedMatching	CL	FMA	n:n	cardinality is n:n
CL:0002163	internal pillar cell of cochlea	oio:hasDbXref	FMA:75726	Internal pillar cell of cochlea	semapv:UnspecifiedMatching	CL	FMA	n:1	cardinality is n:1
CL:0002210	red muscle cell	oio:hasDbXref	FMA:84448	Red muscle cell	semapv:UnspecifiedMatching	CL	FMA	1:n	cardinality is 1:n
CL:0002212	type II muscle cell	oio:hasDbXref	BTO:0001813	fast twitch muscle fiber	semapv:UnspecifiedMatching	CL	BTO	1:n	cardinality is 1:n
CL:0002214	type IIa muscle cell	oio:hasDbXref	BTO:0001813	fast twitch muscle fiber	semapv:UnspecifiedMatching	CL	BTO	1:n	cardinality is 1:n
CL:0002231	epithelial cell of prostate	oio:hasDbXref	FMA:256163	Epithelial cell of prostate	semapv:UnspecifiedMatching	CL	FMA	n:1	cardinality is n:1
CL:0002231	epithelial cell of prostate	oio:hasDbXref	FMA:66817	Epithelial cell of prostatic gland	semapv:UnspecifiedMatching	CL	FMA	n:1	cardinality is n:1
CL:0002238	male gonocyte	oio:hasDbXref	EMAPA:18686		semapv:UnspecifiedMatching	CL	EMAPA	1:1	object is obsolete
CL:0002245	obsolete null lymphocyte	oio:hasDbXref	FMA:83601	Null lymphocyte	semapv:UnspecifiedMatching	CL	FMA	1:n	subject is obsolete | cardinality is 1:n
CL:0002268	P/D1 enteroendocrine cell	oio:hasDbXref	FMA:63207	Type D1 enteroendocrine cell	semapv:UnspecifiedMatching	CL	FMA	n:n	cardinality is n:n
CL:0002268	P/D1 enteroendocrine cell	oio:hasDbXref	FMA:63418	Type P enteroendocrine cell	semapv:UnspecifiedMatching	CL	FMA	n:1	cardinality is n:1
CL:0002276	obsolete PP cell of pancreatic acinus	oio:hasDbXref	FMA:85400	Type F cell of pancreatic acinus	semapv:UnspecifiedMatching	CL	FMA	1:1	subject is obsolete
CL:0002305	epithelial cell of distal tubule	oio:hasDbXref	FMA:62125	Epithelium of distal convoluted tubule	semapv:UnspecifiedMatching	CL	FMA	n:n	cardinality is n:n
CL:0002305	epithelial cell of distal tubule	oio:hasDbXref	FMA:70981	Epithelial cell of distal tubule	semapv:UnspecifiedMatching	CL	FMA	n:1	cardinality is n:1
